family,index,Im(s),Re(s),note
double_zero,0,0.0,0.0,L2 ∩ L3 at s=0
L2,1,9.064720,0.0,zero of 1-2^-s
L2,2,18.129441,0.0,zero of 1-2^-s
L2,3,27.194161,0.0,zero of 1-2^-s
L2,4,36.258881,0.0,zero of 1-2^-s
L2,5,45.323601,0.0,zero of 1-2^-s
L2,6,54.388322,0.0,zero of 1-2^-s
L2,7,63.453042,0.0,zero of 1-2^-s
L3,1,5.719202,0.0,zero of 1-3^-s
L3,2,11.438403,0.0,zero of 1-3^-s
L3,3,17.157605,0.0,zero of 1-3^-s
L3,4,22.876807,0.0,zero of 1-3^-s
L3,5,28.596009,0.0,zero of 1-3^-s
L3,6,34.315210,0.0,zero of 1-3^-s
L3,7,40.034412,0.0,zero of 1-3^-s
L3,8,45.753614,0.0,zero of 1-3^-s
L3,9,51.472816,0.0,zero of 1-3^-s
L3,10,57.192017,0.0,zero of 1-3^-s
